Country,Output T/year,Total consumption,Count Research,Number of Patents,Number Stations,Unnamed: 0,Value (€/kg),FCEV Fleet,2023,per_million,Worker,Number of Companies,Number of Valleys
Austria,115472.34427485825,116115.02004635824,4.0,71.0,12.0,0.0,7.8420828176928445,62.0,9104772.0,9.104772,1599.0,152.0,2.0
Belgium,411229.6346272369,378165.0829164249,6.0,42.0,10.0,1.0,7.071683376258907,110.0,11742796.0,11.742796,26342.0,84.0,2.0
Bulgaria,121173.04554769985,121192.04780059986,2.0,130.0,0.0,2.0,5.746097972330998,0.0,6447710.0,6.44771,1049.0,10.0,0.0
Croatia,62316.80306730769,62335.74994180768,1.0,22.0,2.0,3.0,7.431893528339906,0.0,3850894.0,3.850894,355.0,12.0,0.0
Cyprus,0.0,0.0,0.0,0.0,0.0,4.0,8.859939570498021,0.0,920701.0,0.920701,0.0,0.0,0.0
Czech Republic,103866.11426910297,104109.54331330296,1.0,245.0,8.0,5.0,7.045748771783749,12.0,10827529.0,10.827529,1957.0,37.0,0.0
Denmark,24952.84610159337,25289.48588991036,5.0,116.0,5.0,6.0,7.575089890857034,234.0,5932654.0,5.932654,3232.0,46.0,3.0
Estonia,16.8588679245283,16.8588679245283,1.0,1.0,0.0,7.0,7.15468246507482,2.0,1365884.0,1.365884,0.0,10.0,1.0
Finland,176435.7879595116,176357.11324253082,5.0,80.0,0.0,8.0,6.982302806140688,2.0,5563970.0,5.56397,3113.0,38.0,2.0
France,552822.8446402401,549748.41166314,10.0,1097.0,109.0,9.0,6.94778506192378,863.0,68172977.0,68.172977,84110.0,828.0,4.0
Germany,1743512.423463998,1736608.7740203305,18.0,2624.0,174.0,10.0,7.962367322071802,2233.0,84358845.0,84.358845,45192.0,1053.0,16.0
Greece,326557.4587369211,326535.7209011211,3.0,64.0,0.0,11.0,6.72298996187298,0.0,10413982.0,10.413982,442.0,34.0,3.0
Hungary,188005.16967431948,187871.50114011948,1.0,146.0,1.0,12.0,8.351920946930706,0.0,9599744.0,9.599744,91.0,18.0,1.0
Ireland,7864.365692,8226.7224755,1.0,46.0,0.0,13.0,6.8031672288915725,0.0,5271395.0,5.271395,307.0,15.0,1.0
Italy,607913.1264903757,607742.3465612757,21.0,72.0,13.0,14.0,9.02881307105174,69.0,58997201.0,58.997201,12908.0,191.0,4.0
Latvia,0.0,67.1797736,0.0,8.0,1.0,15.0,7.064254084583327,10.0,1883008.0,1.883008,0.0,3.0,0.0
Lithuania,143686.94268333333,143686.94268333333,0.0,24.0,0.0,16.0,7.703295273218636,1.0,2857279.0,2.857279,16.0,4.0,0.0
Luxembourg,0.0,574.9602325,1.0,18.0,1.0,17.0,7.574632821337812,10.0,660809.0,0.660809,0.0,5.0,1.0
Malta,0.0,0.0,0.0,0.0,0.0,18.0,6.607676712673576,0.0,542051.0,0.542051,0.0,1.0,0.0
Netherlands,975233.6722518498,984043.40324308,7.0,161.0,29.0,19.0,7.1563316128998204,693.0,17811291.0,17.811291,8382.0,297.0,6.0
Norway,157609.58999431593,156713.0072773348,6.0,43.0,9.0,20.0,7.105372739917288,273.0,5488984.0,5.488984,1654.0,140.0,3.0
Poland,784637.1189707745,784020.4561979746,8.0,261.0,15.0,21.0,6.825763448924735,125.0,36753736.0,36.753736,7652.0,139.0,2.0
Portugal,106284.80186666668,103345.81504,4.0,87.0,2.0,22.0,6.299106001034528,5.0,10467366.0,10.467366,459.0,32.0,5.0
Romania,134334.66881181035,133780.30458371036,1.0,115.0,0.0,23.0,8.68248618703739,0.0,19054548.0,19.054548,513.0,14.0,2.0
Slovakia,105597.68760783123,105385.93948523124,1.0,117.0,0.0,24.0,8.035173596467853,3.0,5428792.0,5.428792,153.0,16.0,1.0
Slovenia,1846.5,1809.4050052,1.0,30.0,2.0,25.0,7.203928677262526,0.0,2116972.0,2.116972,2040.0,13.0,1.0
Spain,614470.5592442635,611831.4404868592,27.0,1606.0,29.0,26.0,6.386167296004626,29.0,48085361.0,48.085361,5645.0,467.0,7.0
Sweden,175366.8789904208,174691.51148292082,3.0,105.0,22.0,27.0,7.393565825421895,67.0,10521556.0,10.521556,2971.0,133.0,1.0
Switzerland,20549.795527227525,20549.795527227525,3.0,71.0,20.0,28.0,7.331750536684316,349.0,8815385.0,8.815385,1613.0,164.0,0.0
Turkey,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,85279553.0,85.279553,99.0,0.0,1.0
United Kingdom,569135.4957877519,568987.6977877519,5.0,5823.0,20.0,29.0,7.056446495341596,351.0,67736802.0,67.736802,10847.0,240.0,4.0
